# {'participant': 'juan-carlos', 'session': 'baseline', 'EEG': 'Yes', 'date': '2022_févr._01_1646', 'expName': 'FT-RSGT-rTMS', 'frameRate': 60.00640937600146}
subj, EEG,trial,time, stimulus, response
juan-carlos,True,96,72.5446820259,tap,s
juan-carlos,True,97,72.7518680096,stimulus,
juan-carlos,True,97,73.2546079159,tap,l
juan-carlos,True,98,73.5019049644,stimulus,
juan-carlos,True,98,74.0053958893,tap,s
juan-carlos,True,99,74.2519140244,stimulus,
juan-carlos,True,99,74.7358570099,tap,s
juan-carlos,True,100,75.0019390583,stimulus,
juan-carlos,True,100,75.4621920586,tap,l
juan-carlos,True,101,75.7520260811,stimulus,
juan-carlos,True,101,76.1762950420,tap,s
juan-carlos,True,102,76.5020260811,stimulus,
juan-carlos,True,102,77.0161030293,tap,s
juan-carlos,True,103,77.2520270348,stimulus,
juan-carlos,True,103,77.7465610504,tap,l
juan-carlos,True,104,81.7661991119,probe_task,2
juan-carlos, True,104,84.1501700878,probe_intention,1
juan-carlos,True,104,85.9499349594,probe_distraction,0
juan-carlos,True,105,89.7329211235,stimulus,
juan-carlos,True,105,89.7338991165,tap,s
juan-carlos,True,105,89.9347620010,tap,s
juan-carlos,True,106,90.4827439785,stimulus,
juan-carlos,True,106,91.2287380695,tap,l
juan-carlos,True,107,91.2327530384,stimulus,
juan-carlos,True,107,91.9144670963,tap,s
juan-carlos,True,108,91.9827709198,stimulus,
juan-carlos,True,108,92.6204760075,tap,s
juan-carlos,True,109,92.7327880859,stimulus,
juan-carlos,True,109,93.3385829926,tap,l
juan-carlos,True,110,93.4828081131,stimulus,
juan-carlos,True,110,94.1217110157,tap,s
juan-carlos,True,111,94.2328269482,stimulus,
juan-carlos,True,111,94.8358340263,tap,s
juan-carlos,True,112,94.9828479290,stimulus,
juan-carlos,True,112,95.5743460655,tap,l
juan-carlos,True,113,95.7328720093,stimulus,
juan-carlos,True,113,96.3695840836,tap,s
juan-carlos,True,114,96.4828870296,stimulus,
juan-carlos,True,114,97.1404840946,tap,s
juan-carlos,True,115,97.2329061031,stimulus,
juan-carlos,True,115,97.8667190075,tap,l
juan-carlos,True,116,97.9829230309,stimulus,
juan-carlos,True,116,98.6944980621,tap,s
juan-carlos,True,117,98.7329370975,stimulus,
juan-carlos,True,117,99.4581220150,tap,s
juan-carlos,True,118,99.4829618931,stimulus,
juan-carlos,True,118,100.1317069530,tap,l
juan-carlos,True,119,100.2330539227,stimulus,
juan-carlos,True,119,100.9148390293,tap,s
juan-carlos,True,120,100.9830539227,stimulus,
juan-carlos,True,120,101.6694309711,tap,s
juan-carlos,True,121,101.7330551147,stimulus,
juan-carlos,True,121,102.2864019871,tap,l
juan-carlos,True,122,102.4830560684,stimulus,
juan-carlos,True,122,103.1180560589,tap,s
juan-carlos,True,123,103.2330570221,stimulus,
juan-carlos,True,123,103.8038699627,tap,s
juan-carlos,True,124,103.9830579758,stimulus,
juan-carlos,True,124,104.5990579128,tap,l
juan-carlos,True,125,104.7331089973,stimulus,
juan-carlos,True,125,105.4267680645,tap,s
juan-carlos,True,126,105.4831290245,stimulus,
juan-carlos,True,126,106.1408839226,tap,s
juan-carlos,True,127,106.2331299782,stimulus,
juan-carlos,True,127,106.8590600491,tap,l
juan-carlos,True,128,106.9831559658,stimulus,
juan-carlos,True,128,107.6583430767,tap,s
juan-carlos,True,129,107.7331759930,stimulus,
juan-carlos,True,129,108.3522219658,tap,s
juan-carlos,True,130,108.4832000732,stimulus,
juan-carlos,True,130,109.0865850449,tap,l
juan-carlos,True,131,109.2332239151,stimulus,
juan-carlos,True,131,109.9305450916,tap,s
juan-carlos,True,132,109.9832448959,stimulus,
