# {'participant': 'monica', 'session': 'N', 'EEG': 'No', 'date': '2022_Feb_16_1511', 'expName': 'FT-RSGT', 'frameRate': 60.01777187268586}
subj, EEG,trial,time, stimulus, response
monica,False,141,135.1340844730,stimulus,
monica, False,141,135.5371385040,tap,s
monica,False,142,135.8841709380,stimulus,
monica, False,142,136.5304801790,tap,s
monica,False,143,136.6342621890,stimulus,
monica, False,143,137.1813457220,tap,l
monica,False,144,137.3843604520,stimulus,
monica, False,144,137.9161941460,tap,l
monica,False,145,138.1344342010,stimulus,
monica, False,145,138.5884511880,tap,l
monica,False,146,138.8845245830,stimulus,
monica, False,146,139.3081245510,tap,l
monica,False,147,139.6346287920,stimulus,
monica, False,147,140.0777916980,tap,l
monica,False,148,140.3847073970,stimulus,
monica, False,148,140.8171981870,tap,l
monica,False,149,141.1348492760,stimulus,
monica, False,149,141.5869627760,tap,l
monica,False,150,141.8849606710,stimulus,
monica, False,150,142.0912089210,tap,s
monica,False,151,142.6350674800,stimulus,
monica, False,151,142.8378212930,tap,s
monica,False,152,143.3851748910,stimulus,
monica, False,152,143.5820750460,tap,s
monica,False,153,144.1352759170,stimulus,
monica, False,153,144.1608112670,tap,l
monica, False,153,144.8599083150,tap,l
monica,False,154,144.8854030780,stimulus,
monica, False,154,145.4955920600,tap,s
monica,False,155,145.6354899960,stimulus,
monica, False,155,146.3006332600,tap,s
monica,False,156,146.3855670330,stimulus,
monica, False,156,146.8716506200,tap,l
monica,False,157,147.1356581060,stimulus,
monica, False,157,147.7208942570,tap,l
monica,False,158,147.8857558260,stimulus,
monica, False,158,148.3784849860,tap,s
monica,False,159,148.6358755900,stimulus,
monica, False,159,149.1777291590,tap,s
monica,False,160,149.3859576820,stimulus,
monica, False,160,149.8504464370,tap,l
monica,False,161,150.1360477050,stimulus,
monica, False,161,150.6356958870,tap,l
monica,False,162,150.8861490210,stimulus,
monica, False,162,151.3227120720,tap,s
monica,False,163,151.6362413320,stimulus,
monica, False,163,152.1927252030,tap,s
monica,False,164,152.3863221910,stimulus,
monica, False,164,152.8531058130,tap,l
monica,False,165,153.1364124350,stimulus,
monica, False,165,153.6428439250,tap,s
monica,False,166,153.8864929710,stimulus,
monica, False,166,154.2973222080,tap,l
monica,False,167,154.6366288290,stimulus,
monica, False,167,155.0574334880,tap,s
monica,False,168,155.3867317570,stimulus,
monica, False,168,155.7740983490,tap,l
monica,False,169,156.1368154980,stimulus,
monica, False,169,156.5654811880,tap,l
monica,False,170,160.2944693900,probe_task,0
monica, False,170,162.4622948760,probe_intention,1
monica,False,171,166.2442771390,stimulus,
monica, False,171,166.5558628210,tap,s
monica,False,172,166.9943583410,stimulus,
monica, False,172,167.2123489660,tap,s
monica,False,173,167.7444771730,stimulus,
monica, False,173,167.8104179830,tap,l
monica, False,173,168.4644216660,tap,s
monica,False,174,168.4945640590,stimulus,
monica, False,174,169.1243089700,tap,l
monica,False,175,169.2447662170,stimulus,
monica, False,175,169.8653327760,tap,l
monica,False,176,169.9948563900,stimulus,
monica, False,176,170.5286570120,tap,s
monica,False,177,170.7449961700,stimulus,
monica, False,177,171.3130680800,tap,s
monica,False,178,171.4951318510,stimulus,
monica, False,178,171.9269108200,tap,l
monica,False,179,172.2452523380,stimulus,
monica, False,179,172.9508984090,tap,s
monica,False,180,172.9953767900,stimulus,
monica,False,181,173.7454630050,stimulus,
monica, False,181,173.7528525700,tap,l
monica,False,182,174.4955918000,stimulus,
monica, False,182,174.5282560340,tap,s
monica, False,182,175.1671133140,tap,s
monica,False,183,175.2456916070,stimulus,
monica, False,183,175.7238168380,tap,l
monica,False,184,175.9957760780,stimulus,
monica, False,184,176.6509597510,tap,s
monica,False,185,176.7458700340,stimulus,
monica, False,185,177.4061106070,tap,s
monica,False,186,177.4960078220,stimulus,
monica, False,186,178.0028847910,tap,l
monica,False,187,178.2461255620,stimulus,
monica, False,187,178.7320202490,tap,l
monica,False,188,178.9963039000,stimulus,
monica, False,188,179.4738646870,tap,l
monica,False,189,179.7463901240,stimulus,
monica, False,189,180.2628128790,tap,s
monica,False,190,180.4965271060,stimulus,
monica, False,190,181.1035965370,tap,s
monica,False,191,181.2466627560,stimulus,
monica, False,191,181.8646009420,tap,s
monica,False,192,181.9967631650,stimulus,
monica, False,192,182.4675903630,tap,l
monica,False,193,182.7469014180,stimulus,
monica, False,193,183.2019446250,tap,l
monica,False,194,183.4970200830,stimulus,
monica, False,194,184.0354111340,tap,l
monica,False,195,184.2471533080,stimulus,
monica, False,195,184.7276766190,tap,s
monica,False,196,184.9972485830,stimulus,
monica, False,196,185.4386533830,tap,s
monica,False,197,185.7473775320,stimulus,
monica, False,197,186.2118070680,tap,s
monica,False,198,186.4974651700,stimulus,
monica, False,198,186.8804409240,tap,s
monica,False,199,187.2476056370,stimulus,
monica, False,199,187.6532280490,tap,s
monica,False,200,187.9977180360,stimulus,
monica, False,200,188.2933088160,tap,l
monica,False,201,188.7478493810,stimulus,
monica, False,201,189.1265472490,tap,l
monica,False,202,189.4979194010,stimulus,
monica, False,202,189.8924748130,tap,l
